Vortex	x	y
1	458	784
2	361	735
3	566	714
4	451	625
5	550	605
6	590	576
7	361	533
8	469	486
9	453	499
10	612	462
11	283	455
12	562	453
13	80	454
14	190	364
15	32	357
16	330	347
17	318	362
18	585	345
19	525	329
20	628	327
21	629	305
22	527	297
23	486	290
24	517	288
25	573	280
26	579	295
27	623	274
28	709	270
29	668	271
30	685	267
31	210	266
32	640	263
33	591	259
34	363	254
35	102	250
36	520	237
37	538	244
38	471	231
39	558	226
40	241	225
41	353	204
42	541	194
43	510	187
44	488	187
45	553	176
46	545	148
47	549	130
48	546	106
